family,n,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J
er,128,0.3,11,0.0625,0.0,-78.96905517578125,1.5457807779312134,0.0001907771802507341,0.006270833313465118,1.5377055000280961,24000.0,1.1385910945114417,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.0625,0.1,-79.00727081298828,1.7160331010818481,0.0001567824074300006,0.0051750000566244125,1.565038300002925,24000.0,1.1448410945114376,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.0625,0.2,-79.46588134765625,1.3958356380462646,0.00010288137127645314,0.004350000061094761,1.530551900039427,24000.0,1.1510910945114377,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.0625,0.3,-79.77161407470703,1.5682934522628784,0.00010166424181079492,0.003583333222195506,1.5568820999469608,24000.0,1.1573410945114446,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.0625,0.4,-79.3130111694336,2.1962850093841553,6.974617281230167e-05,0.0030958333518356085,1.5425816000206396,24000.0,1.1635910945114454,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.0625,0.6,-79.60601043701172,1.4869195222854614,4.4556945795193315e-05,0.0019333333475515246,1.5506545999087393,24000.0,1.176091094511444,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.0625,0.8,-78.89262390136719,1.7823660373687744,2.96921771223424e-05,0.0014875000342726707,1.5172929000109434,24000.0,1.1885910945114408,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.0,-79.37670135498047,1.4392263889312744,0.000810902682133019,0.013191666454076767,1.6513798999367282,48000.0,1.2771821890228743,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.1,-80.16651916503906,1.2367966175079346,0.0006267678691074252,0.010470833629369736,1.6974227000027895,48000.0,1.2896821890228714,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.2,-80.44678497314453,1.280252456665039,0.0005037468508817255,0.008816666901111603,1.6284962999634445,48000.0,1.3021821890228706,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.3,-80.4722671508789,0.9731772541999817,0.0003599246556404978,0.00712500000372529,1.6022923999698833,48000.0,1.3146821890228795,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.4,-80.45951843261719,1.3204373121261597,0.000290505908196792,0.006070833187550306,1.6447341999737546,48000.0,1.327182189022873,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.6,-80.82894897460938,1.0620068311691284,0.00017416539776604623,0.003800000064074993,1.5939216000260785,48000.0,1.3521821890228742,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.125,0.8,-79.22383880615234,1.8044459819793701,0.00010422070772619918,0.002854166552424431,1.6287777000106871,48000.0,1.3771821890228737,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.0,-80.42129516601562,1.0813896656036377,0.003581254044547677,0.027183333411812782,1.7676900000078604,96000.0,2.432171185599932,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.1,-80.82894897460938,0.9274135828018188,0.002615200122818351,0.02097083255648613,1.8001932998886332,96000.0,2.407171185599931,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.2,-80.48499298095703,1.1483474969863892,0.0021628232207149267,0.018191667273640633,1.8200524999992922,96000.0,2.3821711855999324,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.3,-81.07098388671875,0.9621095657348633,0.0015397550305351615,0.014399999752640724,1.7421120000071824,96000.0,2.3571711855999333,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.4,-80.8799057006836,0.7877601385116577,0.0012228948762640357,0.01223750039935112,2.122354199993424,96000.0,2.33217118559993,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.6,-80.39582824707031,1.0774800777435303,0.0007122084498405457,0.008266666904091835,1.8700683999340981,96000.0,2.2821711855999287,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.25,0.8,-80.53594970703125,1.0670377016067505,0.0003759556566365063,0.005258333403617144,1.7307894999394193,96000.0,2.2321711855999338,-6.364342371199861,1.608728756091488,6.364342371199861
