family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J
er,0.75,0.1,5,-23.730897903442383,0.36652275984609134,57.48459587097168,0.9959253436264313,0.45003268122673035,0.00011651731815137141,0.6003308296203613,0.0004342095402312915,1.8976450399961322,288000.0,9.109926448421211,6.289950965614141
er,0.75,0.2,5,-25.8634334564209,0.7834505498212738,55.352060317993164,0.870254906279134,0.4500041246414185,0.00011221347787882118,0.6003150105476379,0.000453949903191814,1.8530515599995852,288000.0,9.03492644842122,6.289950965614141
er,0.75,0.3,5,-29.254536819458007,0.46738185507785285,51.96095695495605,0.9955549025946566,0.44996575117111204,0.00011073026192975231,0.6002891659736633,0.0004505426802560435,1.8683685000054537,288000.0,8.959926448421207,6.289950965614141
er,0.75,0.4,5,-33.076978302001955,0.5610348760951301,48.13851547241211,0.8638672913856474,0.4499332427978516,9.594159957906147e-05,0.6002441644668579,0.0004625940308222581,1.8394475999753923,288000.0,8.884926448421213,6.289950965614141
er,0.75,0.6,5,-44.4816650390625,0.8413629629730996,36.733828735351565,0.8760771267093549,0.4498580813407898,8.337896937263183e-05,0.6001924991607666,0.0004602360139104253,1.8881049599964173,288000.0,8.73492644842121,6.289950965614141
er,0.75,0.8,5,-71.25687103271484,5.035538576066836,9.95862274169922,5.246778762706011,0.29513263106346127,0.05622987173800016,0.3982758402824402,0.07346997754399733,1.8399535200092942,288000.0,8.584926448421212,6.289950965614141
er,1.0,0.0,5,-8.597499752044678,1.3279134298824748,72.61799402236939,1.222517749910306,0.9999999403953552,0.0,1.0,0.0,1.0673076200066134,384000.0,12.579901931228278,6.289950965614141
er,1.0,0.1,5,-12.09559440612793,0.6537542694710097,69.11989936828613,1.1441118224668645,0.9999999403953552,0.0,1.0,0.0,1.0377788400277494,384000.0,12.479901931228278,6.289950965614141
er,1.0,0.2,5,-15.2533540725708,0.6330309229841409,65.96213970184326,1.1284844438682515,0.9999999403953552,0.0,1.0,0.0,1.0612206799909472,384000.0,12.379901931228272,6.289950965614141
er,1.0,0.3,5,-19.92100601196289,0.7784437178387968,61.29448776245117,0.5812812241213309,0.9999996900558472,5.597761574809174e-07,1.0,0.0,1.0462178599787877,384000.0,12.279901931228272,6.289950965614141
er,1.0,0.4,5,-22.38653450012207,0.6164129143957067,58.82895927429199,1.1090760487237514,0.9999996900558472,5.597761574809174e-07,1.0,0.0,1.0156305000418797,384000.0,12.179901931228269,6.289950965614141
er,1.0,0.6,5,-29.874681091308595,0.7371820721443266,51.34081268310547,1.1890063054790245,0.9999996900558472,5.597761574809174e-07,1.0,0.0,1.0510558800306171,384000.0,11.979901931228278,6.289950965614141
er,1.0,0.8,5,-39.978736114501956,0.8713432855735023,41.23675765991211,1.276497119535488,0.9999999403953552,0.0,1.0,0.0,1.0579394400352613,384000.0,11.779901931228277,6.289950965614141
sk,0.0625,0.0,5,-91.29182586669921,1.5694584498742705,1.955903625488284,0.3104294770377088,0.00016396309656552,9.111653148452552e-06,0.00525249997153876,0.0001697782342354146,1.871609679982066,24000.0,1.1800070890675989,1.970346494447302
sk,0.0625,0.1,5,-91.72218017578125,1.9050067312890617,1.52554931640625,0.2061215301460187,0.00013365815975697998,4.701472239407364e-06,0.00430166665464634,0.00030807423898706227,1.888298220001161,24000.0,1.1862570890676019,1.970346494447302
sk,0.0625,0.2,5,-91.75993194580079,1.8725718234118918,1.4877975463867243,0.22994245711874423,0.00010462416830700107,5.882322774356831e-06,0.0036258333362638603,0.0002344911401606709,1.962149259983562,24000.0,1.1925070890676017,1.970346494447302
sk,0.0625,0.3,5,-91.74895477294922,1.5343811280341537,1.4987747192382812,0.46284962564465626,8.167909982148558e-05,5.9153913566643395e-06,0.0030266666319220597,0.0001838203755215903,1.9062812600284815,24000.0,1.1987570890675978,1.970346494447302
sk,0.0625,0.4,5,-91.55144653320312,1.4341299614155547,1.6962829589843778,0.4373567813684044,6.332262637442909e-05,3.23702408917793e-06,0.0026291667018085397,0.00014206437840476126,1.9010755200171843,24000.0,1.2050070890675997,1.970346494447302
